acao,CAGR LUCROS 5 ANOS,CAGR RECEITAS 5 ANOS,DIVIDEND YIELD (DY),DÍVIDA BRUTA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBIT,DÍVIDA LÍQUIDA / EBITDA,EV/EBIT,EV/EBITDA,GIRO ATIVOS,LIQUIDEZ CORRENTE,LPA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,MARGEM LÍQUIDA,P/ATIVO,P/ATIVO CIRC LIQ,P/CAP.GIRO,P/EBIT,P/EBITDA,P/L,P/RECEITA (PSR),P/VP,PASSIVOS / ATIVOS,PATRIMÔNIO / ATIVOS,PAYOUT,ROA,ROE,ROIC,VPA,ROIC_Atual,ROIC_2023
atom3,4.9325,0.0,3.195,0.0,-2.9325,-1.9925,6.6675,4.5425,0.9625,7.539999999999999,0.35,99.3725,26.0875,75.35999999999999,27.945,2.22,-138.3225,3.325,9.6,6.5375,9.56,2.435,4.4775,0.6175,0.535,29.9625,27.735,51.752500000000005,44.515,0.675,-14.53,-14.53
aure3,0.0,0.0,0.17,0.0975,0.475,0.32,3.1225,2.1125,0.0425,0.3725,0.6675,5.18,6.305,9.3225,12.1225,0.115,-0.1425,1.78,2.6475,1.79,1.3775,0.6675,0.2425,0.1325,0.1175,0.935,2.075,4.3825,1.2025,3.8125,-0.42,-0.42
avll3,0.0,0.0,0.0,17.7775,-2.485,-2.5925000000000002,-3.985,-4.16,0.08499999999999999,0.7549999999999999,-9.567499999999999,-6.312499999999998,-89.3725,-85.3925,-124.76499999999999,0.19499999999999998,-0.31499999999999995,-6.8875,-1.5025,-1.5699999999999998,-1.1275000000000002,1.9249999999999998,13.387500000000001,0.76,-0.010738749999999998,0.0,-15.575,-764.3349999999999,-20.0425,0.11500000000000021,-55.36,-55.36
azev3,0.0,-2.2174999999999994,0.0,0.15999999999999998,-0.97,-1.1975,-25.757499999999997,-31.1175,0.3175,0.585,0.05499999999999999,-89.165,-149.23999999999998,-104.2175,-497.735,9.514999999999999,-19.2625,5.670000000000001,-32.7875,-39.412499999999994,-13.8325,174.7175,0.3899999999999999,2.945,-1.9450000000000003,0.0,-23.6725,16.5375,12.192500000000003,-0.41999999999999993,-17.86,-17.86
azev4,0.0,-2.2174999999999994,0.0,0.15999999999999998,-0.97,-1.1975,-25.757499999999997,-31.1175,0.3175,0.585,0.05499999999999999,-89.165,-149.23999999999998,-104.2175,-497.735,6.125,-12.115,5.9375,-20.624999999999996,-24.987499999999997,-8.605,115.4275,0.9450000000000001,2.945,-1.9450000000000003,0.0,-23.6725,16.5375,12.192500000000003,-0.41999999999999993,-17.86,-17.86
azul4,0.0,5.9475,0.0,-0.7775000000000001,102.9125,8.8725,221.6275,53.455,0.5875,0.4875,-3.5925000000000002,10.415,-6.325000000000001,14.424999999999999,-64.0975,2.3475,-3.28,-11.0125,118.71499999999999,44.5825,-15.462500000000002,4.7625,-6.715000000000001,1.7725,-0.7725000000000001,0.0,-26.9275,-42.910000000000004,24.2675,-10.875,46.88,45.76
b3sa3,22.37,29.229999999999997,4.5525,0.4225,-1.0925,-0.8899999999999999,16.1825,13.1775,0.1925,1.635,1.31,89.88,56.4525,68.31,43.36,1.8250000000000002,-2.7925,16.6175,17.275000000000002,14.07,22.197499999999998,9.565000000000001,3.605,0.495,0.505,84.0275,8.4,17.3825,11.7325,8.517499999999998,11.15,11.15
bahi3,0.0,14.21,0.0,0.8725,-0.9325,44.46,-17.6675,110.905,0.3975,0.61,-6.63,38.3175,-12.68,-7.0825,-21.47,0.7250000000000001,-0.885,1.5675000000000003,-16.737499999999997,66.44500000000001,-11.675,2.11,2.755,0.665,0.32,0.0,-9.0725,-54.3825,-12.9825,30.7825,29.44,29.44
balm3,19.2925,6.192499999999999,2.5100000000000002,0.21000000000000002,0.0,-0.027500000000000024,10.175,7.81,0.6975,2.2775,1.3675,54.0625,9.0,11.475,8.82,0.6675,-1.8925,1.9549999999999998,11.165,8.6075,11.8575,0.9574999999999999,1.2349999999999999,0.435,0.5425,43.290000000000006,4.1475,11.07,6.567500000000001,12.18,9.67,9.67
balm4,19.2925,6.192499999999999,9.485,0.21000000000000002,0.0,-0.027500000000000024,10.175,7.81,0.6975,2.2775,1.3675,54.0625,9.0,11.475,8.82,0.5425,-1.5474999999999999,1.5875000000000001,9.185,7.067500000000001,9.7975,0.7825000000000001,1.0075,0.435,0.5425,43.290000000000006,4.1475,11.07,6.567500000000001,12.18,9.67,9.67
