"Ticker","Nome","Negócios","Última (R$)","Variação"
"UCAS3","Unicasa","98.600","2,36","-2,48%"
"POMO3","Marcopolo","97.200","5,60","+0,54%"
"ELMD3","Eletromidia","93.900","17,88","-0,39%"
"ALPK3","Estapar","93.600","4,05","+1,25%"
"INEP3","Inepar","84.500","3,43","-6,79%"
"EUCA4","Eucatex","83.900","16,18","+6,10%"
"TAEE3","Taesa","83.300","11,85","+0,25%"
"JFEN3","João Fortes","80.900","1,65","-1,20%"
"ITSA3","Itaúsa","78.700","9,60","+0,31%"
"MELK3","Melnick","77.300","4,55","+0,00%"
"TFCO4","Track & Field","76.700","11,44","+2,42%"
"EMAE4","EMAE","75.000","54,40","-28,42%"
"SHOW3","Time For Fun","74.400","2,52","+1,20%"
"NINJ3","GetNinjas","72.800","5,18","+1,57%"
"GGBR3","Gerdau","71.400","16,95","+0,77%"
"TCSA3","Tecnisa","70.400","2,47","-1,59%"
"INEP4","Inepar","65.000","2,97","-4,81%"
"RNEW3","Renova Energia","60.700","1,05","+0,00%"
"CSUD3","CSU Cardsystem","60.300","17,62","-0,34%"
"PDTC3","Padtec","56.900","2,28","-0,87%"
"BRAP3","Bradespar","54.500","20,27","+1,50%"
"LVTC3","WDC Networks","54.000","3,87","+4,03%"
"DEXP3","Dexxos","48.600","10,66","+2,80%"
"GOAU3","Metalúrgica Gerdau","48.200","11,02","+0,18%"
"LAND3","Terra Santa","43.000","15,00","-0,99%"
"WEST3","Westwing","39.300","1,21","+3,42%"
"ALUP4","Alupar","38.200","9,84","+1,03%"
"ALUP3","Alupar","29.200","10,41","+0,87%"
"LOGN3","Log-In","28.700","37,99","+2,84%"
"VIVR3","Viver","27.400","3,05","+0,33%"
"CTSA4","Santanense","21.800","1,30","-1,52%"
"BOBR4","Bombril","21.700","2,16","+0,47%"
"RAPT3","Randon","21.600","10,07","-1,18%"
"TPIS3","Triunfo","20.300","3,89","+2,37%"
"NUTR3","Nutriplant","19.700","5,23","+2,35%"
"OFSA3","Ourofino Saúde Animal","17.800","21,70","-0,46%"
"ATOM3","ATOM","17.500","2,15","-0,92%"
"DOTZ3","Dotz","17.400","5,45","-1,62%"
"HAGA4","Haga","17.000","1,18","-0,84%"
"TASA3","Taurus","16.200","13,08","+1,40%"
"UNIP3","Unipar","14.300","56,65","-5,24%"
"CLSC4","Celesc","12.100","67,41","-1,14%"
"OSXB3","OSX Brasil","11.100","4,12","+1,23%"
"COCE5","Coelce","11.000","35,51","+2,96%"
"CEBR6","CEB","8.900","20,90","-1,32%"
"IGTI3","Jereissati Participações","7.900","2,97","-1,00%"
"IGTI3","Iguatemi","7.900","2,97","-1,00%"
"APER3","Alper","7.600","44,83","+0,02%"
"BRSR3","Banrisul","6.400","12,40","+0,40%"
"EALT4","Electro Aço Altona","6.200","10,10","+0,10%"
"PLAS3","Plascar","6.200","6,59","-9,73%"
"BEES3","Banestes","5.600","8,80","-0,11%"
"BPAC5","Banco BTG Pactual","5.500","8,18","-0,73%"
"ENGI4","Energisa","4.800","7,90","+1,41%"
"ATMP3","Atma","4.700","2,00","-1,96%"
"CGRA3","Grazziotin","4.300","26,41","+0,04%"
"FIEI3","Fica","3.800","9,95","-0,50%"
"MAPT4","Cemepe","3.800","9,09","-8,18%"
"BAZA3","Banco da Amazônia","3.700","98,88","-1,12%"
"CRPG5","Tronox Pigmentos","3.400","31,04","+1,84%"
"SCAR3","São Carlos","3.300","25,37","+1,52%"
"CTKA4","Karsten","3.300","18,45","-5,38%"
"BPAC3","Banco BTG Pactual","3.300","16,17","-0,19%"
"RPMG3","Refinaria de Manguinhos","3.300","2,09","+3,47%"
"BRKM3","Braskem","3.200","21,66","+0,28%"
"CEBR3","CEB","2.700","21,44","+1,08%"
